parameter,alpha,residual_norm,smoothness_norm
Relative humidity,0.01,0.07486913558157202,2.2859962405276573
Relative humidity,0.023357214690901226,0.15193257905757432,2.0329037396798855
Relative humidity,0.0545559478116852,0.2736591846280619,1.6469136250614553
Relative humidity,0.12742749857031335,0.4238388373327477,1.2028280155185362
Relative humidity,0.29763514416313175,0.5705918486715958,0.820961592425172
Relative humidity,0.6951927961775606,0.6965024321974091,0.5550814221018394
Relative humidity,1.623776739188721,0.8029403520375036,0.3887079930426546
Relative humidity,3.79269019073225,0.899207018637784,0.2871824372339823
Relative humidity,8.858667904100823,1.0014617982908434,0.21926558677505226
Relative humidity,20.69138081114788,1.1273951534941906,0.16702229217920078
Relative humidity,48.32930238571752,1.2824180095536897,0.12574658214595205
Relative humidity,112.88378916846884,1.457959485006093,0.09543414961205055
Relative humidity,263.6650898730355,1.6466634654954195,0.07490578715145808
Relative humidity,615.8482110660254,1.8698205420108873,0.06025053745110135
Relative humidity,1438.449888287663,2.1763518945629743,0.04797327114539654
Relative humidity,3359.818286283781,2.610748569247699,0.036717246681587795
Relative humidity,7847.5997035146065,3.1678247397322497,0.02662517850224754
Relative humidity,18329.807108324338,3.7384918112420924,0.01916673137089998
Relative humidity,42813.32398719387,4.23082035383706,0.014853223797848198
Relative humidity,100000.0,4.707252149266646,0.012403120140209696
10-minute precipitation,0.01,0.0008720720967554152,0.026091861080486525
10-minute precipitation,0.023357214690901226,0.0017694405418552728,0.02307668432628762
10-minute precipitation,0.0545559478116852,0.0031851240031675956,0.018444157287360968
10-minute precipitation,0.12742749857031335,0.004921602775475571,0.013036763060093031
10-minute precipitation,0.29763514416313175,0.006578073360793646,0.008290631223872299
10-minute precipitation,0.6951927961775606,0.00790121798647816,0.004942622325142183
10-minute precipitation,1.623776739188721,0.008871744193659202,0.002860140005103033
10-minute precipitation,3.79269019073225,0.009559665511730367,0.0016550650427838661
10-minute precipitation,8.858667904100823,0.010056164572697915,0.00097718026643155
10-minute precipitation,20.69138081114788,0.010448635648250498,0.0005718705602262584
10-minute precipitation,48.32930238571752,0.010766643321131175,0.00031745194156271664
10-minute precipitation,112.88378916846884,0.010998361687360276,0.00016606875400462088
10-minute precipitation,263.6650898730355,0.011144072060178525,8.564627933619216e-05
10-minute precipitation,615.8482110660254,0.011228510674299426,4.749356033991235e-05
10-minute precipitation,1438.449888287663,0.011282619108841728,2.9557015450440825e-05
10-minute precipitation,3359.818286283781,0.011328171663285156,1.957011286050354e-05
10-minute precipitation,7847.5997035146065,0.011375589544976826,1.285736398199982e-05
10-minute precipitation,18329.807108324338,0.011425520037468051,8.133528520145222e-06
10-minute precipitation,42813.32398719387,0.01147201734873353,5.1110932047198175e-06
10-minute precipitation,100000.0,0.011514362750353559,3.245767447750081e-06
Temperature,0.01,0.011557974074013155,0.36327522385719024
Temperature,0.023357214690901226,0.02353772976154753,0.3251062548212817
Temperature,0.0545559478116852,0.0426443101168817,0.26658535929942867
Temperature,0.12742749857031335,0.0665498569787645,0.19895506095245089
Temperature,0.29763514416313175,0.0903931944247376,0.14078014590869656
Temperature,0.6951927961775606,0.11212422066589835,0.09904608282196793
Temperature,1.623776739188721,0.13336638224938,0.06892469780831792
Temperature,3.79269019073225,0.1547705068965788,0.04667076281410674
Temperature,8.858667904100823,0.17522253316531156,0.03108970649439376
Temperature,20.69138081114788,0.1941862977613913,0.020656544911625503
Temperature,48.32930238571752,0.21133767346667273,0.014012600367692246
Temperature,112.88378916846884,0.2265943396056108,0.010083854155520171
Temperature,263.6650898730355,0.24182194586965214,0.007679361961960059
Temperature,615.8482110660254,0.2594690304341938,0.00603401658253809
