time,measurement,smoothed_alpha_1,smoothed_alpha_10,smoothed_alpha_100,smoothed_alpha_1000
2026-06-28 19:10:00,0.0,1.834725850873937e-16,2.6519431304571454e-10,-1.126733643926148e-06,7.308196906854211e-05
2026-06-28 19:20:00,0.0,-3.4301106358293822e-16,-2.352283257253772e-10,-1.103893151293158e-06,5.931324144440867e-05
2026-06-28 19:30:00,0.0,-1.0529672973406638e-15,-7.621703958010382e-10,-1.0697853222209081e-06,4.547143185120661e-05
2026-06-28 19:40:00,0.0,-1.7868576376902386e-15,-1.3186284959133e-09,-1.0021038887572064e-06,3.142414507842288e-05
2026-06-28 19:50:00,0.0,-1.3321763087954543e-15,-1.8313821852140907e-09,-8.67844729727652e-07,1.699351448369325e-05
2026-06-28 20:00:00,0.0,3.3104401028701345e-15,-2.0953481732640097e-09,-6.239826850702719e-07,1.9702492795750747e-06
2026-06-28 20:10:00,0.0,1.6472531319628428e-14,-1.7223049511022457e-09,-2.1881414742581711e-07,-1.3871934835857992e-05
2026-06-28 20:20:00,0.0,3.9175196960931194e-14,-1.1449619244158729e-10,4.0560431741566376e-07,-3.076129241381187e-05
2026-06-28 20:30:00,0.0,5.5967005326601765e-14,3.498064924115402e-09,1.3094042851383805e-06,-4.891220607065662e-05
2026-06-28 20:40:00,0.0,1.2221327755532269e-14,9.896814839210306e-09,2.5486612882523942e-06,-6.850829713034849e-05
2026-06-28 20:50:00,0.0,-2.0265546973998691e-13,1.951338350107317e-08,4.16635681641638e-06,-8.968427471077305e-05
2026-06-28 21:00:00,0.0,-7.114783489031977e-13,3.178971937401302e-08,6.179985746406489e-06,-0.00011250633963268558
2026-06-28 21:10:00,0.0,-1.4344068017373549e-12,4.4216432572231546e-08,8.565379386834708e-06,-0.0001369510084421306
2026-06-28 21:20:00,0.0,-1.5801219713425162e-12,5.110516127252917e-08,1.1236569188848959e-05,-0.00016288229134552002
2026-06-28 21:30:00,0.0,1.0771018009186155e-12,4.234590039448315e-08,1.4021932809728823e-05,-0.00019002724754082356
2026-06-28 21:40:00,0.0,1.0343112145025854e-11,2.718128730417846e-09,1.6637482214865396e-05,-0.0002179500539346653
2026-06-28 21:50:00,0.0,2.89466548900404e-11,-8.723326496679069e-08,1.8659010041552475e-05,-0.0002460248601861286
2026-06-28 22:00:00,0.0,4.927336371999759e-11,-2.472352048173082e-07,1.9495934104935212e-05,-0.00027340786590036213
2026-06-28 22:10:00,0.0,3.4762217428892383e-11,-4.882912884446213e-07,1.8371082119743227e-05,-0.0002990092458223285
2026-06-28 22:20:00,0.0,-1.0042116890927789e-10,-7.966815929904859e-07,1.4312322459656768e-05,-0.00032146576683108973
2026-06-28 22:30:00,0.0,-4.768733976494083e-10,-1.1098570667521956e-06,6.163812677158668e-06,-0.00033911518655988567
2026-06-28 22:40:00,0.0,-1.1147699022371158e-09,-1.2856004987279947e-06,-7.373412899864805e-06,-0.00034997379687512514
2026-06-28 22:50:00,0.0,-1.5574127184686091e-09,-1.0707089712409083e-06,-2.7659958070298972e-05,-0.00035171877445665695
2026-06-28 23:00:00,0.0,-2.3333397990298134e-10,-8.341951674116164e-08,-5.598269250403072e-05,-0.000341677322187455
2026-06-28 23:10:00,0.0,5.986346898369283e-09,2.165101729445111e-06,-9.335188629024396e-05,-0.00031682492417603664
2026-06-28 23:20:00,0.0,2.0463844481160682e-08,6.172030583665892e-06,-0.00014021798259308225,-0.0002737953872087315
2026-06-28 23:30:00,0.0,4.0575026434914426e-08,1.2218032689324647e-05,-0.0001960979057137867,-0.0002089056931476933
2026-06-28 23:40:00,0.0,4.323191594491304e-08,1.9966570631458228e-05,-0.00025910640012766754,-0.00011819902846786707
2026-06-28 23:50:00,0.0,-3.522849023847535e-08,2.785930372617103e-05,-0.0003253972312528972,2.4903260489499984e-06
2026-06-29 00:00:00,0.0,-3.0170111130979565e-07,3.234123422642163e-05,-0.00038853310050637144,0.00015744628864942857
2026-06-29 00:10:00,0.0,-8.278523762251175e-07,2.7071434012551506e-05,-0.00043882273699245736,0.00035095028725419037
2026-06-29 00:20:00,0.0,-1.383647602630715e-06,2.474851542259985e-06,-0.00046268953881045867,0.0005871263034952109
2026-06-29 00:30:00,0.0,-9.111997319477449e-07,-5.373070812800876e-05,-0.00044216867668975447,0.0008697473687172114
2026-06-29 00:40:00,0.0,3.031025897033351e-06,-0.00015407492509603648,-0.0003546684259716192,0.0012019993879614172
2026-06-29 00:50:00,0.0,1.3795763677469875e-05,-0.00030571440864680407,-0.0001731753752304298,0.001586198518900336
2026-06-29 01:00:00,0.0,3.170472210548578e-05,-0.0005003982755556888,0.00013287057121915276,0.0020234589198185144
2026-06-29 01:10:00,0.0,4.328384599973514e-05,-0.0006993042017333881,0.0005957612628147719,0.002513308550481599
2026-06-29 01:20:00,0.0,3.3543580733862833e-06,-0.0008135700355350303,0.0012464598432818778,0.003053251911735416
2026-06-29 01:30:00,0.0,-0.00017654636496012763,-0.0006844032051424044,0.0021099718437177727,0.003638280195875311
2026-06-29 01:40:00,0.0,-0.0005882353044607597,-7.165413518379557e-05,0.0031988381967869403,0.004260331343284894
2026-06-29 01:50:00,0.0,-0.0011469830768283354,0.0013332670702267506,0.004504500116716684,0.0049077050141519
2026-06-29 02:00:00,0.0,-0.001179824994001921,0.0038461157204935682,0.005986410435766438,0.005564440537320781
2026-06-29 02:10:00,0.0,0.0011331867089077526,0.007649320417998314,0.0075589769850284705,0.006209669536621831
2026-06-29 02:20:00,0.0,0.008791824790791875,0.012540698193073293,0.009076743491237384,0.006816959195348028
2026-06-29 02:30:00,0.0,0.023662675301633882,0.017553134034250975,0.010318663911277497,0.00735366702725572
2026-06-29 02:40:00,0.1,0.03882049950062534,0.020465443110756515,0.010972924767120754,0.007780333586905908
2026-06-29 02:50:00,0.0,0.023677383345323953,0.01730112718838997,0.010624525941626328,0.008050145761832342
2026-06-29 03:00:00,0.0,0.00882491329266209,0.012037143721875759,0.00974873806998218,0.008208510105981863
2026-06-29 03:10:00,0.0,0.0011772924542481828,0.006920337447099301,0.008714586527960005,0.008292783027539483
2026-06-29 03:20:00,0.0,-0.0011761893509714258,0.0029938387277584333,0.007793609310631676,0.00833211242458423
2026-06-29 03:30:00,0.0,-0.001323534758298575,0.0006087441828410725,0.007170198547789471,0.00834735341216759
2026-06-29 03:40:00,0.0,-0.0011765570520636786,-0.0001832334414407084,0.006950810276119365,0.00835102899291647
2026-06-29 03:50:00,0.0,-0.0013235347582985753,0.0006087441828410566,0.007170198546829438,0.008347314816045602
2026-06-29 04:00:00,0.0,-0.0011761893509714258,0.0029938387277584043,0.007793609308366575,0.008332035501776802
2026-06-29 04:10:00,0.0,0.0011772924542481837,0.00692033744709926,0.00871458652370937,0.008292668355515839
2026-06-29 04:20:00,0.0,0.008824913292662093,0.01203714372187571,0.009748738062752744,0.008208358647166706
2026-06-29 04:30:00,0.0,0.023677383345323957,0.017301127188389914,0.010624525930154541,0.00804995897827788
2026-06-29 04:40:00,0.1,0.03882049950062534,0.020465443110756452,0.010972924749945063,0.00778011359175067
2026-06-29 04:50:00,0.0,0.023662675301633882,0.017553134034250913,0.010318663886853081,0.007353416771508108
2026-06-29 05:00:00,0.0,0.008791824790791871,0.012540698193073237,0.009076743458107916,0.006816682687881472
2026-06-29 05:10:00,0.0,0.0011331867089077513,0.007649320417998277,0.007558976942070357,0.006209372094430537
2026-06-29 05:20:00,0.0,-0.0011798249940019212,0.0038461157204935583,0.005986410382520114,0.005564129062027196
2026-06-29 05:30:00,0.0,-0.0011469830768283352,0.0013332670702267781,0.004504500053816191,0.004907388289448915
2026-06-29 05:40:00,0.0,-0.0005882353044607594,-7.165413518372371e-05,0.0031988381264923932,0.004260020346411127
2026-06-29 05:50:00,0.0,-0.00017654636496012747,-0.0006844032051422842,0.0021099717705443635,0.003637988414339817
2026-06-29 06:00:00,0.0,3.3543580733863206e-06,-0.0008135700355348681,0.001246459774702821,0.0030529956543145606
2026-06-29 06:10:00,0.0,4.328384599973513e-05,-0.000699304201733212,0.0005957612099930395,0.0025131072390005885
2026-06-29 06:20:00,0.0,3.170472210548576e-05,-0.0005003982755555654,0.0001328705496932663,0.0020233353454088185
2026-06-29 06:30:00,0.0,1.3795763677469865e-05,-0.0003057144086468565,-0.00017317534501818237,0.0015861790433111683
2026-06-29 06:40:00,0.0,3.0310258970333482e-06,-0.0001540749250964567,-0.00035466831845992275,0.0012021140671341474
2026-06-29 06:50:00,0.0,-9.111997319477442e-07,-5.3730708129052184e-05,-0.0004421684615003893,0.0008700299722609543
2026-06-29 07:00:00,0.0,-1.383647602630714e-06,2.4748515403167685e-06,-0.0004626891818234173,0.000587614200007653
2026-06-29 07:10:00,0.0,-8.278523762251168e-07,2.7071434009515076e-05,-0.00043882220249783855,0.00035168416171804624
2026-06-29 07:20:00,0.0,-3.0170111130979533e-07,3.2341234222375965e-05,-0.00038853235477425037,0.0001584696545359286
2026-06-29 07:30:00,0.0,-3.5228490238475264e-08,2.785930372178115e-05,-0.0003253962478782717,3.84879144337674e-06
2026-06-29 07:40:00,0.0,4.323191594491303e-08,1.9966570628374747e-05,-0.0002591051674877793,-0.00011645878423206869
2026-06-29 07:50:00,0.0,4.05750264349144e-08,1.2218032690622757e-05,-0.0001960964368018671,-0.00020673727795431036
2026-06-29 08:00:00,0.0,2.0463844481160663e-08,6.172030594153701e-06,-0.00014021632734475105,-0.0002711544364030189
2026-06-29 08:10:00,0.0,5.986346898369279e-09,2.1651017555338242e-06,-9.33501462726286e-05,-0.00031367126897991057
2026-06-29 08:20:00,0.0,-2.333339799029697e-10,-8.341946808599913e-08,-5.598103746824965e-05,-0.00033797763065029885
2026-06-29 08:30:00,0.0,-1.5574127184685767e-09,-1.0707088951082776e-06,-2.765864335163778e-05,-0.0003474497051105169
2026-06-29 08:40:00,0.0,-1.1147699022370653e-09,-1.2856003971269195e-06,-7.372795968134069e-06,-0.00034512569842624755
2026-06-29 08:50:00,0.0,-4.768733976493831e-10,-1.109856956225006e-06,6.163259070436779e-06,-0.00033369636695806314
2026-06-29 09:00:00,0.0,-1.0042116890941214e-10,-7.966815147729255e-07,1.4310004111931394e-05,-0.00031550734136810986
2026-06-29 09:10:00,0.0,3.47622174283484e-11,-4.882913195185659e-07,1.836628891350204e-05,-0.000292570555951576
2026-06-29 09:20:00,0.0,4.927336371881158e-11,-2.472354657325225e-07,1.948786319118167e-05,-0.00026658243766228165
2026-06-29 09:30:00,0.0,2.8946654888541983e-11,-8.723391673353409e-08,1.8646813771868224e-05,-0.00023894684289809537
2026-06-29 09:40:00,0.0,1.0343112145292628e-11,2.7169107329128396e-09,1.662034885054779e-05,-0.00021080104561922348
2026-06-29 09:50:00,0.0,1.0771018082745754e-12,4.234399159468526e-08,1.3999208484487784e-05,-0.0001830433729429742
2026-06-29 10:00:00,0.0,-1.5801219485937413e-12,5.110260970635885e-08,1.1207929242450148e-05,-0.00015636135094103664
2026-06-29 10:10:00,0.0,-1.4344067596684613e-12,4.421364976304073e-08,8.531055608351953e-06,-0.00013125946231215693
2026-06-29 10:20:00,0.0,-7.114783107119833e-13,3.178773548920215e-08,6.141052773685775e-06,-0.00010808582840414015
2026-06-29 10:30:00,0.0,-2.0265552781824422e-13,1.9514125633010282e-08,4.125075373860664e-06,-8.705731110247927e-05
2026-06-29 10:40:00,0.0,1.2220973630802382e-14,9.903305393712082e-09,2.5088675165488174e-06,-6.828268646426314e-05
2026-06-29 10:50:00,0.0,5.5966106071447215e-14,3.514347407253464e-09,1.2769225556838198e-06,-5.1783673235478164e-05
2026-06-29 11:00:00,0.0,3.917380830917856e-14,-8.400622979085448e-11,3.8864517003376875e-07,-3.7513707475646526e-05
2026-06-29 11:10:00,0.0,1.6471913078037495e-14,-1.6744481615715081e-09,-2.093291871900768e-07,-2.5374441571054896e-05
2026-06-29 11:20:00,0.0,3.3144448028865614e-15,-2.0312704092600432e-09,-5.742515144767954e-07,-1.5230014200514305e-05
2026-06-29 11:30:00,0.0,-1.3164851694491878e-15,-1.7613201778708564e-09,-7.612795184435647e-07,-6.919189601264738e-06
2026-06-29 11:40:00,0.0,-1.7532102950312662e-15,-1.26831763149234e-09,-8.198283905627944e-07,-2.6550199634566465e-07
2026-06-29 11:50:00,0.0,-1.0115788604719973e-15,-7.798509164258002e-10,-7.917005271224584e-07,4.914433580804705e-06
2026-06-29 12:00:00,0.0,-3.5422885735244036e-16,-3.966764158233091e-10,-7.105000405049033e-07,8.804267598744507e-06
2026-06-29 12:10:00,0.0,-3.221941678165725e-17,-1.4156542119435872e-10,-6.019140378212506e-07,1.1582736092451066e-05
2026-06-29 12:20:00,0.0,5.76191874837303e-17,2.378417533889952e-12,-4.845246257775732e-07,1.3419770829302973e-05
2026-06-29 12:30:00,0.0,5.0676098468757773e-17,6.620799255371161e-11,-3.708947707017311e-07,1.4473720840586369e-05
2026-06-29 12:40:00,0.0,2.4721271714730362e-17,8.073835430399208e-11,-2.6874219266380915e-07,1.4889515386758088e-05
2026-06-29 12:50:00,0.0,6.848564294195486e-18,7.016375396824597e-11,-1.820756640268749e-07,1.4797610007434369e-05
2026-06-29 13:00:00,0.0,-5.694384350298015e-19,5.060460729958868e-11,-1.1221653522735796e-07,1.4313570726844706e-05
2026-06-29 13:10:00,0.0,-2.008715409323918e-18,3.1164954654310995e-11,-5.8665400061419224e-08,1.3538165959211154e-05
2026-06-29 13:20:00,0.0,-1.3758071300354825e-18,1.5888375658744876e-11,-1.9800686972946028e-08,1.255785054802893e-05
2026-06-29 13:30:00,0.0,-5.685386891891973e-19,5.701954473791148e-12,6.585829594788445e-09,1.1445541170834036e-05
2026-06-29 13:40:00,0.0,-1.0892804877428158e-19,-5.606230552385425e-14,2.290038206824051e-08,1.0261596654614452e-05
2026-06-29 13:50:00,0.0,4.9545518409242755e-20,-2.617623531552904e-12,3.14833445779186e-08,9.05493028518731e-06
2026-06-29 14:00:00,0.0,6.233078833563489e-20,-3.2090718260963904e-12,3.444608743364874e-08,7.864193751715128e-06
2026-06-29 14:10:00,0.0,3.53310185699114e-20,-2.794987457799411e-12,3.3585147499477776e-08,6.718983813075234e-06
2026-06-29 14:20:00,0.0,1.2118678341453959e-20,-2.0190435126974254e-12,3.0352600765116026e-08,5.641033034393246e-06
2026-06-29 14:30:00,0.0,9.3521830973286e-22,-1.2454143310459513e-12,2.5864671745279066e-08,4.645354996981702e-06
2026-06-29 14:40:00,0.0,-2.096589207235554e-21,-6.363699018307652e-13,2.093405894703131e-08,3.7413222491187504e-06
2026-06-29 14:50:00,0.0,-1.789190201167803e-21,-2.296387809330473e-13,1.6114814159984383e-08,2.93366198408556e-06
2026-06-29 15:00:00,0.0,-8.584414565448523e-22,6.874659490987055e-16,1.1751648584279585e-08,2.2233600729141795e-06
2026-06-29 15:10:00,0.0,-2.310095566798652e-22,1.0348115121087404e-13,8.02812527845838e-09,1.6084687246525703e-06
2026-06-29 15:20:00,0.0,2.4880371658847737e-23,1.2754584065256979e-13,5.010290815219439e-09,1.0848167882757781e-06
2026-06-29 15:30:00,0.0,7.201275838284092e-23,1.113369849533897e-13,2.6839105144768455e-09,6.466246440341974e-07
2026-06-29 15:40:00,0.0,4.8291661744821044e-23,8.055545072728046e-14,9.846467879924846e-10,2.870278553899464e-07
2026-06-29 15:50:00,0.0,1.9608381614653926e-23,4.9768406092849896e-14,-1.7867705761652462e-10,-1.4846388388910099e-09
2026-06-29 16:00:00,0.0,3.562556117384338e-24,2.5487474095977678e-14,-9.070841836129888e-10,-2.2671092768962047e-07
2026-06-29 16:10:00,0.0,-1.854558236596859e-24,9.247437173258523e-15,-1.2998109806835478e-09,-3.964476155607088e-07
2026-06-29 16:20:00,0.0,-2.2142610542831444e-24,3.4330351689381337e-17,-1.4470229976787126e-09,-5.182645959229333e-07
2026-06-29 16:30:00,0.0,-1.2332937060711398e-24,-4.090555059058656e-15,-1.425887673642157e-09,-5.993353146315103e-07
2026-06-29 16:40:00,0.0,-4.141365080743206e-25,-5.069360784483435e-15,-1.2991022176407675e-09,-6.463149529457334e-07
2026-06-29 16:50:00,0.0,-2.5976070335023967e-26,-4.435173044176936e-15,-1.1151049620050093e-09,-6.652593568102645e-07
2026-06-29 17:00:00,0.0,7.613750517873378e-26,-3.2141419792827947e-15,-9.093432168889401e-10,-6.615780572168198e-07
2026-06-29 17:10:00,0.0,6.313018683396027e-26,-1.988900426526955e-15,-7.061132428265674e-10,-6.400153258003051e-07
2026-06-29 17:20:00,0.0,2.9790437818929297e-26,-1.020667024707079e-15,-5.206178681830094e-10,-6.046538561384096e-07
2026-06-29 17:30:00,0.0,7.77653448795444e-27,-3.7177036996813466e-16,-3.6099878889511876e-10,-5.589363264830222e-07
2026-06-29 17:40:00,0.0,-1.0436846235800279e-27,-2.4723559843811584e-18,-2.3019152221791794e-10,-5.057007612298935e-07
2026-06-29 17:50:00,0.0,-2.578915468244277e-27,1.6414216056673532e-16,-1.2752159751747827e-10,-4.4722624844829077e-07
2026-06-29 18:00:00,0.0,-1.6941693750284462e-27,2.0523555860620685e-16,-5.0012628937692e-11,-3.8528617544625155e-07
2026-06-29 18:10:00,0.0,-6.755422046784003e-28,1.815560009983518e-16,6.586985352723435e-12,-3.212067032833653e-07
2026-06-29 18:20:00,0.0,-1.149604429115574e-28,1.3332809474686793e-16,4.702897347442753e-11,-2.559287068437748e-07
2026-06-29 18:30:00,0.0,7.119162923306412e-29,8.26208467556178e-17,7.599919369455252e-11,-1.9007185430833967e-07
2026-06-29 18:40:00,0.0,8.149017362800372e-29,3.817045445377717e-17,9.771321454548639e-11,-1.239998851510758e-07
2026-06-29 18:50:00,0.0,4.331972291273676e-29,4.510305949600259e-19,1.1562661262267166e-10,-5.788646699169072e-08
2026-06-29 19:00:00,0.0,2.5746360987349e-30,-3.3880357512597374e-17,1.3221783237609602e-10,8.218732435259108e-09
