"DateTime";"10 min. middelvind";"Højeste vindstød"
"2026-06-28 19:10:00";4.599999904632568;6.300000190734863
"2026-06-28 19:20:00";4.099999904632568;6.699999809265137
"2026-06-28 19:30:00";3.5999999046325684;5.400000095367432
"2026-06-28 19:40:00";3.5999999046325684;5.400000095367432
"2026-06-28 19:50:00";3.0999999046325684;5.300000190734863
"2026-06-28 20:00:00";3.0999999046325684;5.400000095367432
"2026-06-28 20:10:00";3.0999999046325684;4.699999809265137
"2026-06-28 20:20:00";2.5999999046325684;4.199999809265137
"2026-06-28 20:30:00";2.5999999046325684;4.199999809265137
"2026-06-28 20:40:00";2.5999999046325684;4.300000190734863
"2026-06-28 20:50:00";3.0999999046325684;4.300000190734863
"2026-06-28 21:00:00";3.0999999046325684;5.300000190734863
"2026-06-28 21:10:00";3.0999999046325684;5.300000190734863
"2026-06-28 21:20:00";3.0999999046325684;5.199999809265137
"2026-06-28 21:30:00";3.0999999046325684;4.400000095367432
"2026-06-28 21:40:00";3.0999999046325684;4.599999904632568
"2026-06-28 21:50:00";3.5999999046325684;6
"2026-06-28 22:00:00";3.5999999046325684;6.400000095367432
"2026-06-28 22:10:00";3.0999999046325684;5.099999904632568
"2026-06-28 22:20:00";3.5999999046325684;6.099999904632568
"2026-06-28 22:30:00";3.0999999046325684;4.800000190734863
"2026-06-28 22:40:00";4.099999904632568;6.900000095367432
"2026-06-28 22:50:00";4.099999904632568;7.199999809265137
"2026-06-28 23:00:00";4.099999904632568;6.199999809265137
"2026-06-28 23:10:00";4.099999904632568;5.599999904632568
"2026-06-28 23:20:00";3.5999999046325684;4.400000095367432
"2026-06-28 23:30:00";3.5999999046325684;5.199999809265137
"2026-06-28 23:40:00";4.099999904632568;5.900000095367432
"2026-06-28 23:50:00";5.099999904632568;8.100000381469727
"2026-06-29 00:00:00";4.599999904632568;7.099999904632568
"2026-06-29 00:10:00";4.599999904632568;7
"2026-06-29 00:20:00";4.599999904632568;8.300000190734863
"2026-06-29 00:30:00";4.099999904632568;7.199999809265137
"2026-06-29 00:40:00";4.599999904632568;6.900000095367432
"2026-06-29 00:50:00";4.099999904632568;6.599999904632568
"2026-06-29 01:00:00";4.099999904632568;6.599999904632568
"2026-06-29 01:10:00";3.5999999046325684;5.5
"2026-06-29 01:20:00";3.5999999046325684;5.599999904632568
"2026-06-29 01:30:00";3.5999999046325684;5.900000095367432
"2026-06-29 01:40:00";3.5999999046325684;5.699999809265137
"2026-06-29 01:50:00";4.099999904632568;5.900000095367432
"2026-06-29 02:00:00";4.099999904632568;5.800000190734863
"2026-06-29 02:10:00";4.099999904632568;6.099999904632568
